src_ip,dst_ip,protocol,src_port,dst_port,length
0.0.0.192,159.50.65.140,0,224,6321,64
65.140.0.224,24.177.12.173,192,2048,17664,64
24.177.12.173,8.0.69.0,140,56,0,64
192.168.170.8,192.168.170.20,17,32795,53,64
53.0.36.133,237.16.50.1,128,0,256,64
0.0.0.224,24.177.12.173,0,192,40754,64
192.168.170.20,192.168.170.8,17,53,32795,64
0.0.0.192,159.50.65.140,0,224,6321,64
65.140.0.224,24.177.12.173,192,2048,17664,64
24.177.12.173,8.0.69.0,140,56,0,64
