src_port,dst_port,protocol,length,label
-1.0751797063764765,-0.6871939724705005,-1.6311414100744077,0.0,1
1.4089693443588907,1.2477166287218848,0.5000336584823868,0.0,0
1.8648013528692502,-1.1719626136661996,-0.6535381676171625,0.0,1
-0.9105386007283783,0.2574428076502375,2.1228550409614138,0.0,0
-0.3004458194369883,-1.1719626136661996,-0.6535381676171625,0.0,1
-0.3017997758979101,-0.2471463002358201,0.4022733342366623,0.0,1
-1.0906148100309858,1.5175414693805458,-1.2987563076389443,0.0,0
1.4089693443588907,-1.1719626136661996,-0.6535381676171625,0.0,1
-1.0906148100309858,1.5175414693805458,-1.2987563076389443,0.0,1
1.2666233884339724,0.0057728482457704445,0.6173460475772562,0.0,0
-1.0906148100309858,1.5175414693805458,-1.2987563076389443,0.0,1
0.16161438879361179,-0.16436670405844078,0.6173460475772562,0.0,0
0.06909403063061802,-0.18601931472858022,-0.5362257785222931,0.0,1
-1.095398789526243,-1.1922827559874074,0.87152289061614,0.0,0
0.06909403063061802,-0.18601931472858022,-0.5362257785222931,0.0,1
0.9421251566330333,0.6039678576442771,0.6368981124264012,0.0,1
-1.0751797063764765,-0.6871939724705005,-1.6311414100744077,0.0,1
-0.9105386007283783,0.2574428076502375,2.1228550409614138,0.0,1
-1.095398789526243,-1.1922827559874074,0.87152289061614,0.0,1
-0.9105386007283783,0.2574428076502375,2.1228550409614138,0.0,1
1.8648013528692502,-1.1719626136661996,-0.6535381676171625,0.0,1
1.4089693443588907,1.2477166287218848,0.5000336584823868,0.0,1
-0.34702192169270024,1.2260640180517455,0.4218253990858072,0.0,0
-0.3017997758979101,-0.2471463002358201,0.4022733342366623,0.0,1
1.8648013528692502,-1.209188448164478,-1.2987563076389443,0.0,0
1.5485171235979036,-0.5152222761865083,0.5195857233315317,0.0,0
0.06909403063061802,-0.18601931472858022,-0.5362257785222931,0.0,0
0.06909403063061802,-0.18601931472858022,-0.5362257785222931,0.0,1
0.06909403063061802,-0.8388455264332849,-0.6535381676171625,0.0,1
0.9421251566330333,0.6039678576442771,0.6368981124264012,0.0,1
-0.3004458194369883,1.092650624614963,0.4022733342366623,0.0,0
0.16161438879361179,-0.16436670405844078,0.6173460475772562,0.0,1
-0.3004458194369883,1.092650624614963,0.4022733342366623,0.0,1
-0.3017997758979101,-0.2471463002358201,0.4022733342366623,0.0,0
0.9421251566330333,-1.1719626136661996,-0.6535381676171625,0.0,1
-1.0903440187388014,-1.213602249570314,1.106147668805879,0.0,1
-1.0780681468264433,2.180361193702238,-1.6311414100744077,0.0,0
